Season,Player_ID,Player_Name,Position,Team,Conference,Usage_Overall,Team_Total_Usage,Player_Usage_Share,Rank_Within_Team,Top_Player_Flag,Top_3_Flag,Top_Player_Share,Top_3_Share,Distinct_Season_Count
2021,4362620,Kavosiey Smoke,RB,Kentucky,SEC,0.112,1.563,7.2%,4,0,0,33.9%,57.2%,3.00
2021,4362632,Chris Curry,RB,Utah,Pac-12,0.033,1.764,1.9%,11,0,0,25.4%,64.0%,3.00
2021,4362650,Jaray Jenkins,WR,LSU,SEC,0.062,1.955,3.2%,7,0,0,26.7%,51.2%,2.00
2021,4362748,Tyler Badie,RB,Missouri,SEC,0.394,2.039,19.3%,2,0,1,25.6%,55.9%,1.00
2021,4362763,Daniel Parker,TE,Missouri,SEC,0.033,2.039,1.6%,16,0,0,25.6%,55.9%,2.00
2021,4362770,Messiah Swinson,TE,Missouri,SEC,0.021,2.039,1.0%,18,0,0,25.6%,55.9%,3.00
2021,4362785,Amir Abdur-Rahman,WR,Vanderbilt,SEC,0.049,2.047,2.4%,11,0,0,21.6%,52.3%,1.00
2021,4362788,Ben Bresnahan,TE,Vanderbilt,SEC,0.031,2.047,1.5%,13,0,0,21.6%,52.3%,2.00
2021,4362794,Cam Johnson,WR,Vanderbilt,SEC,0.062,2.047,3.0%,9,0,0,21.6%,52.3%,3.00
2021,4362802,Gavin Schoenwald,TE,Vanderbilt,SEC,0.018,2.047,0.9%,15,0,0,21.6%,52.3%,2.00
2021,4362841,Deshaun Fenwick,RB,Oregon State,Pac-12,0.107,1.676,6.4%,4,0,0,26.0%,53.4%,3.00
2021,4362852,Dakereon Joyner,RB,South Carolina,SEC,0.083,2.054,4.0%,8,0,0,26.4%,53.8%,3.00
2021,4362862,Josh Vann,WR,South Carolina,SEC,0.097,2.054,4.7%,6,0,0,26.4%,53.8%,2.00
2021,4362874,Matt Corral,QB,Ole Miss,SEC,0.518,1.698,30.5%,1,1,1,30.5%,51.1%,1.00
2021,4362915,Gerry Bohannon,QB,Baylor,Big 12,0.437,1.715,25.5%,1,1,1,25.5%,60.1%,1.00
2021,4362921,Tyquan Thornton,WR,Baylor,Big 12,0.104,1.715,6.1%,5,0,0,25.5%,60.1%,1.00
2021,4363030,Warren Thompson,WR,Arkansas,SEC,0.046,1.578,2.9%,10,0,0,30.9%,48.0%,3.00
2021,4363032,Keyshawn Helton,WR,Florida State,ACC,0.048,1.869,2.6%,10,0,0,26.9%,59.3%,1.00
2021,4363044,Jordan Young,WR,Florida State,ACC,0.031,1.869,1.7%,14,0,0,26.9%,59.3%,1.00
2021,4363045,Camm McDonald,TE,Florida State,ACC,0.049,1.869,2.6%,9,0,0,26.9%,59.3%,2.00
2021,4363046,Tre'Shaun Harrison,WR,Oregon State,Pac-12,0.050,1.676,3.0%,8,0,0,26.0%,53.4%,2.00
2021,4363640,Jeremy Moussa,QB,Vanderbilt,SEC,0.195,2.047,9.5%,4,0,0,21.6%,52.3%,1.00
2021,4367175,Kyle Philips,WR,UCLA,Pac-12,0.082,1.676,4.9%,5,0,0,31.3%,58.2%,1.00
2021,4367178,Dorian Thompson-Robinson,QB,UCLA,Pac-12,0.525,1.676,31.3%,1,1,1,31.3%,58.2%,2.00
