Season,Id,Name,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns
2021,4038443,Mitchell Perkinson,WR,Central Arkansas,,0.097,0.14,0,0.107,0.045,0.167,0.103,0.087
2021,4038444,Landon Wolf,WR,South Dakota State,,0.016,0.034,0,0.033,0,0,0.026,0
2021,4038532,Isaiah Graham,WR,Louisiana Tech,CUSA,0.044,0.082,0,0.02,0.067,0.054,0.029,0.08
2021,4038536,Dylan Thomas,WR,Northern Colorado,,0.054,0.071,0,0.043,0.111,0,0.031,0.083
2021,4038721,Mohamed Jabbie,WR,UAlbany,,0.075,0.133,0,0.087,0.125,0,0.061,0.1
2021,4038741,Kato Nelson,QB,Akron,MAC,0.37,0.522,0.22,0.25,0.411,0.567,0.317,0.474
2021,4038809,Jake Bentley,QB,South Alabama,SBC,0.46,0.833,0.063,0.432,0.438,0.559,0.411,0.557
2021,4038822,C.J. Freeman,RB,Campbell,,0.145,0,0.29,0.103,0.2,0.167,0.154,0.13
2021,4038920,Trey Harrell,WR,Arkansas-Pine Bluff,,0.034,0.083,0,0,0.105,0,0,0.087
2021,4038940,Terry Wilson,QB,New Mexico,MWC,0.533,0.95,0.169,0.5,0.458,0.746,0.474,0.651
2021,4038961,Cam McCormick,TE,Oregon,PAC,0.014,0.029,0,0,0,0.063,0,0.048
2021,4038966,Jack Sorenson,WR,Miami (OH),MAC,0.128,0.249,0.005,0.122,0.104,0.185,0.116,0.15
2021,4038983,Andrew Homer,TE,Miami (OH),MAC,0.043,0.083,0,0.037,0.036,0.06,0.032,0.063
2021,4039008,Kamari Pleasant,RB,Washington,PAC,0.138,0.046,0.257,0.151,0.132,0.126,0.159,0.086
2021,4039009,Sean McGrew,RB,Washington,PAC,0.229,0.037,0.432,0.246,0.281,0.126,0.263,0.129
2021,4039082,Jason Pirtle,TE,North Texas,CUSA,0.047,0.115,0,0.03,0.038,0.1,0.029,0.086
2021,4039089,Cameron Odom,WR,Ohio,MAC,0.064,0.128,0.006,0.07,0.053,0.079,0.066,0.061
2021,4039101,Adam Luehrman,TE,Ohio,MAC,0.013,0.024,0,0.009,0.027,0,0.012,0.014
2021,4039115,Ryan Luehrman,TE,Ohio,MAC,0.037,0.079,0,0.023,0.044,0.043,0.026,0.061
2021,4039154,Jordan Myers,TE,Rice,CUSA,0.182,0.103,0.241,0.17,0.165,0.211,0.219,0.106
2021,4039159,Aaron Cephus,WR,Hawai'i,MWC,0.035,0.066,0,0.031,0.041,0.038,0.035,0.035
2021,4039202,Dylan Koch,TE,Ball State,MAC,0.029,0.045,0,0.067,0,0,0.047,0
2021,4039210,Drew Plitt,QB,Ball State,MAC,0.53,0.896,0.135,0.441,0.487,0.757,0.449,0.693
2021,4039258,Hunter Buczkowski,TE,Central Michigan,MAC,0.015,0.036,0,0.011,0.016,0,0.007,0.031
2021,4039294,Mulbah Car,RB,Houston,AAC,0.08,0.012,0.15,0.077,0.071,0.081,0.093,0.051
2021,4039295,Keith Corbin,WR,Jackson State,,0.138,0.186,0,0.148,0.176,0.083,0.114,0.174
2021,4039300,D'Eriq King,QB,Miami,ACC,0.735,0.985,0.36,0.777,0.612,0.787,0.682,0.84
2021,4039357,Sean Dykes,TE,Memphis,AAC,0.058,0.103,0,0.059,0.065,0.044,0.063,0.048
2021,4039394,Jay Griffin IV,WR,Northwestern State,,0.017,0,0.029,0,0.05,0,0,0.059
2021,4039468,Andrew Parchment,WR,Florida State,ACC,0.061,0.123,0.003,0.061,0.054,0.066,0.051,0.082
2021,4039469,Anthony Thompson,QB,Indiana State,,0.696,0.972,0.2,0.591,0.737,0.857,0.703,0.684
2021,4039482,Mitchell Brinkman,TE,South Florida,AAC,0.028,0.058,0,0.023,0.035,0.024,0.025,0.033
2021,4039599,Devaughn Cooper,WR,Syracuse,ACC,0.05,0.119,0.003,0.047,0.048,0.061,0.043,0.063
2021,4039912,B.J. Smith,RB,Troy,SBC,0.162,0.054,0.302,0.176,0.159,0.133,0.186,0.111
2021,4040508,Quadraiz Wadley,RB,UTEP,CUSA,0.096,0.007,0.181,0.122,0.091,0.06,0.122,0.04
2021,4040769,James Charles,RB,Florida Atlantic,CUSA,0.064,0.02,0.112,0.079,0.049,0.038,0.078,0.037
