Season,Team,Conference,Points_for,Points_against
2021,Quincy,Great Lakes,38,17
2021,Eastern New Mexico,Lone Star,10,36
2021,Nebraska-Kearney,Mid America,28,24
2021,Southwest Baptist,Great Lakes,41,62
2021,West Liberty,Mountain East,10,51
2021,McKendree,Great Lakes,10,17
2021,Central Missouri,Mid America,7,47
2021,Fort Lewis,Rocky Mountain,0,76
2021,Bloomsburg,Pennsylvania State Athletic,31,27
2021,Sioux Falls,Northern Sun,50,14
2021,Fort Valley State,SIAC,24,27
2021,Winona State,Northern Sun,23,29
2021,Morehouse College,SIAC,14,37
2021,Valparaiso,Pioneer,18,28
2021,Cornell,Ivy,21,31
2021,Missouri S&T,Great Lakes,51,45
2021,Augustana University (SD),Northern Sun,43,17
2021,New Mexico Highlands,Rocky Mountain,37,56
2021,Indiana-Pennsylvania,Pennsylvania State Athletic,21,37
2021,Bentley,Northeast 10,24,14
2021,Tuskegee,SIAC,23,6
2021,Kansas State,Big 12,38,17
2021,Western Carolina,Southern,37,42
2021,Notre Dame,FBS Independents,27,13
2021,CSU Pueblo,Rocky Mountain,19,16
2021,Grand Valley State University,GLIAC,45,24
2021,Austin Peay,OVC,59,35
2021,Tennessee State,OVC,41,7
2021,Montana State,Big Sky,52,10
2021,Mississippi College,Gulf South,63,0
2021,Greeneville,South Atlantic,24,21
2021,Louisiana Tech,Conference USA,37,39
2021,Kansas,Big 12,7,45
2021,Florida,SEC,29,31
2021,Massachusetts,FBS Independents,28,42
2021,Washington State,Pac-12,14,45
2021,App State,Sun Belt,44,10
2021,Ohio State,Big Ten,41,20
2021,Iowa,Big Ten,30,7
2021,Wake Forest,ACC,35,14
2021,Miami (OH),Mid-American,42,7
2021,Oregon State,Pac-12,42,0
2021,Clemson,ACC,14,8
2021,Villanova,CAA,34,27
2021,Akron,Mid-American,35,14
2021,Rutgers,Big Ten,45,13
2021,Arkansas,SEC,45,10
2021,Wyoming,Mountain West,45,12
2021,Duke,ACC,30,23
2021,California,Pac-12,42,30
2021,Toledo,Mid-American,6,22
2021,Western Illinois,MVFC,56,62
2021,Northern Colorado,Big Sky,10,17
2021,Memphis,American Athletic,31,29
2021,Washington,Pac-12,52,3
2021,Minnesota State Mankato,Northern Sun,45,24
2021,North Dakota,MVFC,38,0
2021,Portland State,Big Sky,21,7
2021,Bowling Green,Mid-American,27,10
2021,Northern Iowa,MVFC,44,3
2021,Norfolk State,MEAC,63,26
2021,The Citadel,Southern,45,13
2021,Florida Atlantic,Conference USA,45,14
2021,Gardner-Webb,Big South,56,0
2021,Campbell,Big South,72,0
2021,Charleston Southern,Big South,14,41
2021,Wofford,Southern,10,31
2021,Towson,CAA,7,35
2021,North Carolina Central,MEAC,20,13
2021,Bucknell,Patriot,6,30
2021,Liberty,FBS Independents,45,17
2021,Allen,SIAC,34,32
2021,Johnson C Smith,CIAA,12,20
2021,Franklin Pierce,Northeast 10,19,38
2021,Newberry,South Atlantic,28,21
2021,Indianapolis,Great Lakes,17,20
2021,Slippery Rock,Pennsylvania State Athletic,57,7
2021,UNC Pembroke,Mountain East,36,22
2021,West Georgia,Gulf South,27,26
2021,Savannah St,SIAC,41,34
2021,Virginia Union,CIAA,49,7
2021,UTSA,Conference USA,27,13
2021,Marshall,Conference USA,38,42
2021,Arkansas-Monticello,Great American,18,58
2021,Southern Arkansas,Great American,6,37
2021,Oklahoma Baptist,Great American,56,42
2021,Southeastern Oklahoma State,Great American,37,28
2021,Ferris State,GLIAC,47,45
2021,Valdosta State,Gulf South,21,3
2021,East Texas A&M,Lone Star,17,35
2021,Upper Iowa University,Northern Sun,22,40
2021,Angelo State,Lone Star,17,35
2021,Southern Miss,Conference USA,9,21
2021,Missouri Western,Mid America,38,37
2021,Northeastern State,Mid America,13,48
2021,Wayne State (NE),Northern Sun,48,0
2021,Georgia,SEC,40,13
2021,San Diego State,Mountain West,33,31
2021,Georgia State,Sun Belt,20,9
2021,Ouachita Baptist,Great American,38,24
2021,East Central (OK),Great American,40,13
2021,Southwest Minnesota State,Northern Sun,23,45
2021,Prairie View A&M,SWAC,37,27
2021,South Florida,American Athletic,38,17
2021,Houston,American Athletic,45,0
2021,Texas State,Sun Belt,34,42
2021,Central Arkansas,AWC,45,23
2021,Eastern Kentucky,AWC,21,23
2021,Jacksonville State,AWC,27,24
2021,Tarleton State,AWC,35,40
2021,Eastern Illinois,OVC,24,31
2021,Southern Illinois,MVFC,55,3
2021,Northwestern State,Southland,10,35
2021,Taylor,,24,77
2021,Southern,SWAC,24,31
2021,Stephen F. Austin,AWC,58,13
2021,Abilene Christian,AWC,34,9
2021,Texas Tech,Big 12,54,21
2021,East Tennessee State,Southern,38,6
2021,Penn State,Big Ten,28,20
2021,Oregon,Pac-12,48,7
2021,NC State,ACC,45,7
2021,North Carolina,ACC,59,39
2021,LSU,SEC,49,21
2021,North Texas,Conference USA,6,40
2021,Air Force,Mountain West,45,49
2021,West Texas A&M,Lone Star,42,14
2021,Vanderbilt,SEC,23,41
2021,Central Oklahoma,Mid America,10,14
2021,Lindenwood,Great Lakes,56,34
2021,Fort Hays State,Mid America,72,0
2021,Weber State,Big Sky,24,37
2021,New Mexico State,FBS Independents,43,35
2021,Cal Poly,Big Sky,14,48
2021,Ole Miss,SEC,61,21
2021,UL Monroe,Sun Belt,12,7
2021,Texas,Big 12,58,0
2021,South Alabama,Sun Belt,28,21
2021,Chadron St,Rocky Mountain,31,20
2021,Adams State,Rocky Mountain,10,24
2021,Simon Fraser,Great Northwest,14,36
2021,Boise State,Mountain West,20,21
2021,UC Davis,Big Sky,60,27
2021,Arizona,Pac-12,19,21
2021,BYU,FBS Independents,27,17
2021,UNLV,Mountain West,3,48
2021,UCLA,Pac-12,37,40
2021,Hawai'i,Mountain West,13,17
2021,App State,Sun Belt,31,30
2021,Arkansas-Pine Bluff,SWAC,38,39
2021,Charlotte,Conference USA,42,39
2021,Harvard,Ivy,49,17
2021,Virginia,ACC,17,37
2021,Syracuse,ACC,24,21
