Season,Player_ID,Player_Name,Position,Team,Conference,Usage_Overall,Team_Total_Usage,Player_Usage_Share,Rank_Within_Team,Top_Player_Flag,Top_3_Flag,Top_Player_Share,Top_3_Share,Distinct_Season_Count,Usage_Bin
2021,4241222,Charlie Brewer,QB,Utah,Pac-12,0.448,1.764,0.253968254,1,1,1,0.253968254,0.640022676,1,40–50%
2021,4241224,Abram Smith,RB,Baylor,Big 12,0.294,1.715,0.171428571,3,0,1,0.254810496,0.601166181,1,25–30%
2021,4241225,R.J. Sneed,WR,Baylor,Big 12,0.067,1.715,0.039067055,7,0,0,0.254810496,0.601166181,2,5–10%
2021,4241235,OrTre Smith,WR,South Carolina,SEC,0.014,2.054,0.006815969,17,0,0,0.26436222,0.537974684,1,0–5%
2021,4241263,Charlie Kolar,TE,Iowa State,Big 12,0.086,1.777,0.048396173,5,0,0,0.31851435,0.610016882,1,5–10%
2021,4241343,Eric Hommel,WR,Kansas State,Big 12,0.018,2.012,0.008946322,16,0,0,0.236580517,0.576043738,1,0–5%
2021,4241362,Chabastin Taylor,WR,Kansas State,Big 12,0.018,2.012,0.008946322,16,0,0,0.236580517,0.576043738,1,0–5%
2021,4241365,Landry Weber,WR,Kansas State,Big 12,0.03,2.012,0.014910537,12,0,0,0.236580517,0.576043738,1,0–5%
2021,4241371,Kennedy Brooks,RB,Oklahoma,Big 12,0.237,2.213,0.107094442,3,0,1,0.205151378,0.507907817,1,20–25%
2021,4241380,Jeremiah Hall,TE,Oklahoma,Big 12,0.053,2.213,0.02394939,12,0,0,0.205151378,0.507907817,1,5–10%
2021,4241397,Charleston Rambo,WR,Miami,ACC,0.121,2.788,0.043400287,6,0,0,0.263629842,0.551291248,1,10–15%
2021,4241407,Braydon Johnson,WR,Oklahoma State,Big 12,0.09,2.221,0.040522287,7,0,0,0.243583971,0.538496173,2,5–10%
2021,4241410,Jelani Woods,TE,Virginia,ACC,0.072,1.76,0.040909091,8,0,0,0.406818182,0.604545455,1,5–10%
2021,4241474,Brian Robinson Jr.,RB,Alabama,SEC,0.295,2.023,0.145823035,2,0,1,0.276322294,0.497775581,1,25–30%
2021,4241481,Chadarius Townsend,WR,Texas Tech,Big 12,0.049,2.395,0.02045929,11,0,0,0.186221294,0.487265136,1,0–5%
2021,4241566,Chase Rogers,TE,Ole Miss,SEC,0.031,1.698,0.018256773,15,0,0,0.305064782,0.510600707,1,0–5%
2021,4241602,McLane Mannix,WR,Texas Tech,Big 12,0.042,2.395,0.017536534,14,0,0,0.186221294,0.487265136,1,0–5%
2021,4241798,Omar Manning,WR,Nebraska,Big Ten,0.037,1.983,0.018658598,18,0,0,0.278870398,0.455874937,2,0–5%
2021,4241891,Alec Sinkfield,RB,Boston College,ACC,0.11,2.001,0.054972514,5,0,0,0.212893553,0.536231884,2,10–15%
2021,4241931,Carlos Carriere,WR,Maryland,Big Ten,0.054,1.831,0.029492081,11,0,0,0.318405243,0.471327144,1,5–10%
2021,4241934,Tayon Fleet-Davis,RB,Maryland,Big Ten,0.17,1.831,0.09284544,2,0,1,0.318405243,0.471327144,1,15–20%
2021,4241961,Connor Heyward,RB,Michigan State,Big Ten,0.052,1.697,0.03064231,9,0,0,0.312905127,0.646434885,1,5–10%
2021,4242158,Chase Hayden,RB,Illinois,Big Ten,0.059,2.154,0.027390901,8,0,0,0.214948932,0.525998143,2,5–10%
2021,4242167,Tyson Morris,WR,Arkansas,SEC,0.035,1.578,0.022179975,13,0,0,0.309252218,0.48035488,1,0–5%
2021,4242178,De'Vion Warren,WR,Arkansas,SEC,0.045,1.578,0.02851711,11,0,0,0.309252218,0.48035488,1,0–5%
2021,4242209,Jontre Kirklin,WR,LSU,SEC,0.104,1.955,0.053196931,6,0,0,0.267007673,0.51202046,1,10–15%
2021,4242243,Keytaon Thompson,WR,Virginia,ACC,0.162,1.76,0.092045455,3,0,1,0.406818182,0.604545455,2,15–20%
2021,4242248,Austin Williams,WR,Mississippi State,SEC,0.062,1.925,0.032207792,7,0,0,0.386493506,0.566753247,2,5–10%
2021,4242268,Andrew Marty,QB,Northwestern,Big Ten,0.383,2.254,0.169920142,2,0,1,0.187666371,0.501774623,1,30–40%
2021,4242270,Kyric McGowan,WR,Georgia Tech,ACC,0.083,2.035,0.040786241,6,0,0,0.255036855,0.596068796,1,5–10%
2021,4242285,Trey Pugh,TE,Northwestern,Big Ten,0.034,2.254,0.015084295,11,0,0,0.187666371,0.501774623,1,0–5%
2021,4242289,Berkeley Holman,WR,Northwestern,Big Ten,0.024,2.254,0.010647737,18,0,0,0.187666371,0.501774623,1,0–5%
2021,4242330,Danny Davis III,WR,Wisconsin,Big Ten,0.079,1.651,0.047849788,5,0,0,0.217443973,0.540278619,1,5–10%
2021,4242355,Jake Ferguson,TE,Wisconsin,Big Ten,0.063,1.651,0.038158692,11,0,0,0.217443973,0.540278619,1,5–10%
2021,4242408,Chase Garbers,QB,California,Pac-12,0.614,2.197,0.279472007,2,0,1,0.309512972,0.660901229,1,50%+
2021,4242413,Gavin Reinwald,TE,California,Pac-12,0.019,2.197,0.008648157,17,0,0,0.309512972,0.660901229,1,0–5%
2021,4242431,Ty Chandler,RB,North Carolina,ACC,0.222,2.081,0.106679481,2,0,1,0.305141759,0.487265738,1,20–25%
2021,4242442,Princeton Fant,TE,Tennessee,SEC,0.037,2.079,0.017797018,18,0,0,0.236652237,0.413660414,2,0–5%
